Family,SpeciesName,WoodDensity,Reference,,,,,,
Lauraceae,Mezilaurus itauba  ,0.76,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Euphorbiaceae,Micrandropsis scleroxylon ,0.89,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Sapotaceae,Micropholis guyanensis  ,0.71,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Olacaceae,Minquartia guianensis ,0.81,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Urticaceae,Pourouma tomentosa  ,0.42,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Sapotaceae,Pouteria cladantha  ,0.78,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Sapotaceae,Pouteria guianensis  ,0.89,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Sapotaceae,Pouteria macrophylla  ,0.91,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Sapotaceae,Pouteria sp.,0.79,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Burseraceae,Protium apiculatum  ,0.63,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Burseraceae,Protium hebetatum  ,0.58,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Malvaceae,Scleronema micranthum ,0.65,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Fabaceae,Swartzia tomentifera ,0.81,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Fabaceae,Tachigali venusta  ,0.56,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
Malvaceae,Theobroma sylvestre ,0.71,"Dias et al., 2016. Tree growth, wood and bark water content of 28 Amazonian tree species in response to variations in rainfall and wood density",,,,,,
NA,Palaquium sp.,0.674,"Hans et al., 2014. Assessment of variations in air-dry wood density using time-of-flight near-infrared spectroscopy",,,,,,
NA,Cercidiphyllum japonicum,0.516,"Hans et al., 2014. Assessment of variations in air-dry wood density using time-of-flight near-infrared spectroscopy",,,,,,
NA,Castanea crenata,0.526,"Hans et al., 2014. Assessment of variations in air-dry wood density using time-of-flight near-infrared spectroscopy",,,,,,
NA,Dactylocladus stenostachys,0.582,"Hans et al., 2014. Assessment of variations in air-dry wood density using time-of-flight near-infrared spectroscopy",,,,,,
NA,Kalopanax pictus,0.482,"Hans et al., 2014. Assessment of variations in air-dry wood density using time-of-flight near-infrared spectroscopy",,,,,,
NA,Chamaecyparis obtusa,0.444,"Hans et al., 2014. Assessment of variations in air-dry wood density using time-of-flight near-infrared spectroscopy",,,,,,
NA,Larix kaempferi,0.573,"Hans et al., 2014. Assessment of variations in air-dry wood density using time-of-flight near-infrared spectroscopy",,,,,,
NA,Anadenanthera falcata  ,0.6,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Copaifera langsdorffii ,0.48,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Qualea sp.,0.47,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Tapirira guianensis  ,0.39,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Tapirira guianensis  ,0.4,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Tapirira guianensis  ,0.35,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Vochysia tucanorum  ,0.4,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Aspidosperma polyneuron ,0.55,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Centrolobium tomentosum ,0.58,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Croton floribundus  ,0.35,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Croton floribundus  ,0.35,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Croton floribundus ,0.23,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Croton floribundus  ,0.22,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Esenbeckia leiocarpa  ,0.64,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Inga striata  ,0.26,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Machaerium brasiliense,0.47,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Ocotea sp.,0.47,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Ocotea sp.,0.53,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Ocotea sp.,0.36,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Ocotea sp.,0.22,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Piptadenia gonoacantha,0.35,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Piptadenia gonoacantha,0.22,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Piptocarpha sellowii,0.34,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Savia dictyocarpa ,0.38,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Savia dictyocarpa ,0.43,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
NA,Senegalia polyphylla ,0.43,"Moreira et al., 2019. Wood density and carbon concentration of coarse woody debris in native forests, Brazil",,,,,,
Annonaceae,Annickia chlorantha,0.50674,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Fabaceae,Baphia leptobotrys,0.80785,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Fabaceae,Cylicodiscus gabunensis,0.79623,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Malvaceae,Duboscia macrocarpa,0.55597,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Meliaceae,Entandrophragma cylindricum,0.59573,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Malvaceae,Eribromao blongum,0.61556,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Fabaceae,Erythrophleum suaveolens,0.8048,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Euphorbiaceae,Macaranga barteri,0.36174,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Malvaceae,Mansonia altissima,0.5297,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Fabaceae,Pentaclethra macrophylla,0.80569,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Lecythidaceae,Petersianthus macrocarpus,0.60144,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Fabaceae,Pterocarpus soyauxii,0.69219,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Myristicaceae,Pycnanthus angolensis,0.45051,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Combretaceae,Terminalia superba,0.50798,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Malvaceae,Triplochiton scleroxylon,0.47149,"Sagang et al., 2018. Using volume-weighted average wood specific gravity of trees reduces bias in aboveground biomass predictions from forest volume data",,,,,,
Fabaceae ,Acacia nilotica,0.71,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Fabaceae ,Acacia nilotica ,0.74,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Fabaceae ,Acacia tortilis ,0.69,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Fabaceae ,Acacia senegal ,0.7,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Fabaceae ,Albizia lebbeck ,0.58,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Simaroubaceae,Ailanthus excelsa ,0.43,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Meliaceae,Azadirachta indica,0.63,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Zygophyllaceae,Balanites roxburghii ,0.58,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Fabaceae,Bauhinia racemosa ,0.66,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Capparidacea,Capparis decidua ,0.68,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Fabaceae,Cassia fistula,0.65,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Fabaceae,Colophospermum mopane ,0.69,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Boraginaceae,Cordiamyxa Spp.,0.42,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Fabaceae,Hardwickia binata ,0.72,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Fabaceae,Pongamia pinnata ,0.55,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Fabaceae,Prosopis cineraria ,0.73,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Fabaceae,Prosopis juliflora ,0.71,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Fabaceae,Tamarindus indica ,0.73,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Bignoniaceae,Tecomella undulata ,0.68,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Rhamnaceae,Ziziphus mauritiana ,0.5,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Rhamnaceae,Ziziphus nummularia,0.61,"Gupta et al., 2017. Wood specific gravity of trees in hot semi-arid zone of India: diversity among species and relationship between stem and branches",,,,,,
Anisophylleaceae, Poga oleosa,0.421,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Annonaceae, Annickia affinis,0.449,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Annonaceae, Anonidium mannii,0.329,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Annonaceae, Greenwayodendron suaveolens,0.622,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Annonaceae, Xylopia aethiopica,0.529,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Apocynaceae, Alstonia boonei,0.374,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Burseraceae, Aucoumea klaineana,0.384,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Burseraceae, Canarium schweinfurthii,0.411,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Burseraceae, Santiria trimera,0.548,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Cannabaceae, Celtis adolfi-friderici,0.594,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Combretaceae, Terminalia superba,0.47,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Euphorbiaceae, Macaranga spp,0.347,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Euphorbiaceae, Plagiostyles africana,0.575,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Euphorbiaceae, Ricinodendron heudelotii,0.269,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Baphia spp,0.801,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Brachystegia laurentii,0.438,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Calpocalyx heitzii,0.684,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Cylicodiscus gabunensis,0.749,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Cynometra hankei,0.693,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Dialium pachyphyllum,0.74,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Erythrophleum ivorense,0.704,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Erythrophleum suaveolens,0.74,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Gilbertiodendron dewevrei,0.668,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Julbernardia pellegriniana,0.698,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Pentaclethra macrophylla,0.744,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Pericopsis elata,0.649,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Prioria balsamifera,0.442,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Prioria oxyphylla,0.534,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Pterocarpus soyauxii,0.594,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Fabaceae, Scorodophloeus zenkeri,0.66,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Irvingiaceae, Desbordesia glaucescens,0.807,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Irvingiaceae, Irvingia grandifolia,0.756,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Irvingiaceae, Klainedoxa gabonensis,0.781,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Lecythidaceae, Petersianthus macrocarpus,0.588,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Malvaceae, Duboscia macrocarpa,0.55,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Malvaceae, Eribroma oblongum,0.547,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Malvaceae, Mansonia altissima,0.519,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Malvaceae, Triplochiton scleroxylon,0.378,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Meliaceae, Entandrophragma candollei,0.547,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Meliaceae, Entandrophragma cylindricum,0.551,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Meliaceae, Guarea cedrata,0.562,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Meliaceae, Khaya anthotheca,0.52,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Meliaceae, Lovoa trichilioides,0.599,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Moraceae, Milicia excelsa,0.516,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Myristicaceae, Pycnanthus angolensis,0.41,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Myristicaceae, Scyphocephalium mannii,0.446,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Myristicaceae, Staudtia kamerunensis,0.675,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Ochnaceae, Lophira alata,0.833,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Olacaceae, Ongokea gore,0.692,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Olacaceae, Strombosia grandifolia,0.647,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Sapotaceae, Autranella congolensis,0.732,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Sapotaceae, Manilkara maboke_nsis,0.738,"Fayolle et al., 2018. A regional allometry for the Congo basin forests based on the largest ever destructive sampling",,,,,,
Aceraceae,Acer ginnala  ,0.465,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Aceraceae,Acer mono ,0.552,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Betulaceae,Alnus japonica  ,0.412,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Betulaceae,Betula costata  ,0.399,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Betulaceae,Betula platyphylla  ,0.449,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Juglandaceae,Juglans mandshurica ,0.414,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Salicaceae,Populus davidiana  ,0.421,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Salicaceae,Populus koreana ,0.412,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Salicaceae,Populus ussuriensis  ,0.449,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Salicaceae,Salix matsudana  ,0.349,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Tiliaceae,Tilia amurensis  ,0.274,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Tiliaceae,Tilia mandshurica  ,0.252,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Rhamnaceae,Rhamnus davurica  ,0.544,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Oleaceae,Syringa reticulate ,0.503,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Rosaceae,Crataegus maximowiczii  ,0.526,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Rosaceae,Malus baccata ,0.584,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Rosaceae,Padus racemosa  ,0.482,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Rosaceae,Sorbus pohuashanensis ,0.499,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Leguminosae,Maackia amurensis ,0.519,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Fagaceae,Quercus mongolica ,0.653,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
UImaceae,Ulmus davidiana  ,0.579,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Oleaceae,Fraxinus mandschurica ,0.578,"Niu et al., 2017. Divergence in strategies for coping with winter embolism among co_occurring temperate tree species: the role of positive xylem pressure, wood type and tree stature",,,,,,
Violaceae,Melicytus micranthus,0.568,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Rutaceae,Melicope simplex,0.51,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Loganiaceae,Geniostoma rupestre,0.363,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Rubiaceae,Coprosma areolata,0.511,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Piperaceae,Piper excelsum,0.415,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Myrsinaceae,Myrsine australis,0.68,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Rubiaceae,Coprosma grandifolia,0.476,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Asteraceae,Brachyglottis repanda,0.436,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Malvaceae,Hoheria sexstylosa,0.606,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Araliaceae,Schefflera digitata,0.303,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Violaceae,Melicytus ramiflorus,0.415,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Pennantiaceae,Pennantia corymbosa,0.516,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Moraceae,Streblus heterophyllus,0.521,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Pittosporaceae,Pittosporum eugenioides,0.688,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Sapindaceae,Alectryon excelsus,0.629,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Monimiaceae,Hedycarya arborea,0.522,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Oleaceae,Nestegis lanceolata,0.712,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Malvaceae,Plagianthus regius,0.586,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Lauraceae,Beilschmiedia tawa,0.6,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Podocarpaceae,Podocarpus totara,0.594,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Proteaceae,Knightia excelsa,0.602,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Podocarpaceae,Prumnopitys taxifolia,0.716,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Atherospermataceae,Laurelia novaezelandiae,0.493,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Podocarpaceae,Dacrydium cupressinum,0.64,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Podocarpaceae,Dacrycarpus dacrydioides,0.491,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
Onagraceae,Fuchsia magellanica,0.414,"Lusk et al., 2016.  Testing for functional convergence of temperate rainforest tree assemblages in Chile and New Zealand",,,,,,
